material formula,Band_gap_GGA,Band_gap_HSE,Band_gap_GGA_optical,Band_gap_HSE_optical
Cs2Se4W1,1.53597,2.2223800000000002,1.53597,2.2223800000000002
Cs2Se5,0.793067,1.577658,1.185582,1.972871
Cs2Se5Si2,2.41088,3.398498,2.707919,3.666446
Cs2Sn1Te4,0.621514,1.0882960000000002,0.976839,1.502528
Cs2Te1,1.770827,2.500349,1.770827,2.500349
Cs2Te2,1.005948,1.780373,1.615788,2.455461
Cs2Te3,0.493739,1.041492,1.725119,2.469192
Cs2Te5,0.33069,0.87883,0.33069,0.87883
Cs3Cu1Hf2Te10,1.151789,1.776418,1.383484,1.968103
Cs3Cu2I5,2.788758,3.656035,2.788758,3.656035
Cs3Cu5O4,1.946587,3.190352,2.18211,3.283621
Cs3D5Mg1,2.474546,3.422066,2.474546,3.422066
Cs3D5Mn1,1.5222799999999999,3.2553170000000002,1.614914,3.315897
Cs3D5Pd1,1.995967,2.976261,2.199455,3.254809
Cs3D5Pt1,1.960981,2.94171,2.52264,3.594564
Cs3D5Zn1,2.67776,3.655046,2.780937,3.655046
Cs3F6Tl1,3.262194,4.99362,6.52765,8.192796
Cs3F7Mn1,1.469265,3.183555,1.529647,3.243246
Cs3F7Ti1,2.734758,4.524902,2.749722,4.5451
Cs3F9Fe2,3.591514,5.188649,3.644271,5.240279
Cs3Fe1Se3,0.993456,1.883823,1.111127,1.883823
Cs3Ga1Se3,2.121079,3.060461,2.803834,3.774021
Cs3Ge1Se3,1.471396,2.189482,1.606891,2.333899
Cs3Ge1Te3,1.049832,1.764808,1.349268,1.764808
Cs3H5Mg1,2.47667,3.450784,2.47667,3.450784
Cs3I4Re3S4,2.517986,3.341712,2.674446,3.458145
Cs3I5Mn1,3.312815,4.286149,3.462716,4.286149
Cs3I9Sb2,1.871418,2.434201,2.178363,2.753276
Cs3I9Y2,2.69769,3.699243,2.69769,3.699243
Cs3I9Zr2,0.4094739999999999,1.2761900000000002,0.622791,1.512752
Cs3In1O3,2.072794,3.443748,3.114858,4.577697
Cs3Na1Pb4,0.341213,0.608666,0.633102,0.829333
Cs3Na2P3Sn1,1.097792,1.796626,1.809317,1.796626
Cs3Nb1Se4,2.0943259999999997,2.951524,2.0943259999999997,2.951524
Cs3Ni1O2,1.3991800000000003,2.4068060000000004,1.3991800000000003,2.4068060000000004
Cs3O4Sb1,2.789459,4.367026,2.789459,4.367026
Cs3P1Se4,1.830737,2.834632,1.830737,2.834632
Cs3P1Se7Sn1,1.4256520000000001,2.294235,2.02897,2.945703
Cs3P7,2.359571,3.076263,2.531101,3.301866
Cs3S3Sb1,2.640237,3.45973,2.704845,3.543011
Cs3S4Sb1,2.14956,3.259788,2.14956,3.259788
Cs3S4Ta1,2.951734,3.90422,3.186754,4.145549
Cs3S4V1,2.09452,2.840231,2.219336,2.990261
Cs3Sb1,0.666073,1.221163,1.466804,2.06725
Cs3Sb1Se3,2.228237,3.008256,2.257883,3.039757
Cs3Sb1Se4,1.433715,2.370571,1.433715,2.370571
Cs3Se4Ta1,2.4526310000000002,3.309902,2.4526310000000002,3.309902
Cs3Sn1Te3,1.118049,1.743056,1.118049,1.743056
Cs4Cu1K2O8Si2,1.560601,3.460103,1.645678,3.554321
Cs4Cu1O7Si2,1.528432,3.412567,3.682775,5.066485
Cs4Cu3F10,1.6069470000000001,3.644542,2.073457,4.152579
Cs4F12Mn2Pd1,1.144475,3.2336020000000003,1.144475,3.2336020000000003
Cs4Fe1O3,1.35698,2.022913,2.226908,2.890217
Cs4Fe1O4,0.773801,2.051781,0.844477,2.133731
Cs4Ga2Se5,2.130236,3.067514,2.130236,3.067514
Cs4In2S5,2.112931,3.112528,2.112931,3.112528
Cs4Ir1O4,0.302369,2.155507,0.548495,2.446219
Cs4O3Zn1,2.026102,3.070178,3.113717,4.115423
Cs4O4Pb1,1.6567580000000002,3.015829,1.6567580000000002,3.015829
Cs4O4Zr1,2.802932,4.106921,3.711084,5.019981
Cs4O5Sb2,2.903477,3.901629,3.278146,4.28546
Cs4O6,0.0,0.859571,0.0,0.859571
Cs4P2Pd1Se8,1.384466,2.320807,1.58907,2.583792
Cs4P2Se9,1.430514,2.309761,1.430514,2.309761
Cs4P6,0.821953,1.440115,0.821953,1.440115
Cs4Sb2,0.198755,0.681233,0.987217,1.531483
Cs4Se16,0.853994,1.634797,1.196914,1.962052
Cs4Se9Sn3Sr1,1.539774,2.165451,2.011054,2.626797
Cs4Sn2Te7,1.145886,1.836057,1.145886,1.836057
Cs5Ga3Se7,2.143129,3.09212,2.143129,3.09212
Cs5Ge1P3,0.862375,1.5709169999999997,1.387711,2.033782
Cs5N10Na1W4,1.791623,2.573593,2.160227,2.988748
Cs5P3Si1,0.8336350000000001,1.464534,1.409726,2.061388
