formula,target
Ag1As1S2,2.3322490000000005
As2K2Pd1,1.40631
C1Cl3Cu1H9N4O1S1,2.807009
Li1Mg1P1,0.515539
Al1K6Na3Sb4,1.28874
As2Co2O8Sr1,3.617001
O12Rb2Te1W3,3.801153
Hg1Mo1O4,3.096414
Mn1Pd1Te1,0.025209
B1Be2F1O3,8.096962999999999
Bi3Cl5O10Te4,3.347724
O4Ti1Zn2,3.664957
Cl9Cs3Sb2,3.069085
Cu2Ge1Hg1S4,0.937127
Cl6N2O2V1,2.307318
C1Li2N2,4.99725
Ba1Cl1O2Sb1,3.938162
Br2Hg1,2.641241
Hg4N2O8,2.522606
Co1Cs3I5,3.23007
O3Y2,5.607923
Bi1Li5O5,2.686299
C3Ce1O13P1Sr3,4.638679
Li2O6Sn1Te1,3.87359
Ni3Rb2S4,2.239208
P4Re1,1.470128
Ag1I2Tl1,2.249163
Cs1Cu3O2,2.975278
Fe2O7Rb8,2.66171
Bi2O5Si1,3.893749
Cl1La1Te1,1.232877
Li1Mo3O8Y1,2.410179
F6K1Ni1Rb2,1.231477
Cs4O5Sb2,3.901629
Cl1K1O2,4.14024
Cs1Nb1O8P2,3.790645
Cl1N6Sb1,1.470953
O4Se1V1,3.362052
Cu1O10P2Ti2,3.638259
Ce1Cs1S2,2.787927
Ge1I3Rb1,0.87574
F1K1Nb2O6Sr1,3.183349
As3Cs6In1,1.122102
Cl18Cs2Nb6Pb1,1.5843
Al2P3S9,3.313121
Ge1Nb2Te4,0.273272
H11I2O6Sc1,4.733656
C1H6N6O5,3.671631
B1F3Mg3O3,7.368485
Bi12Cl12Pt1,1.356957
Bi1Ni1O3,1.066464
Ce1O3Sr1,4.044659
Mn1P4,1.778717
Ca1O4Te1,3.788458
Fe1K1O8S2,3.25723
Cl4Cs6O1,3.220244
Cu1N6O12Pb1Rb2,1.821872
Ca2Cr1O6Sb1,3.241092
Au1Li3O3,3.453556
As1Br3F6,2.939668
Cs1I1O4,4.363029
Ag2O11V4,1.585619
Cu1In1Mo2O8,1.042087
Cl1O3Pb1V1,3.016146
Cs2Cu1F6K1,3.844207
Ga3N5Sr3,2.383572
Ag2Cu2O3,2.0495340000000004
Ag1K1O1,2.809626
Al1D1Ge1Sr1,1.12663
Li2S1,4.354007
F6Pb1Zn1,3.457668
Cr3Rb1S5,1.90745
Cs3Ge1Te3,1.764808
Te1V1,1.534496
N1O1S2,3.005967
As1Bi1Cd2O6,3.425508
Nb2Ni4O9,3.574819
C3F6,6.547825
K2Se3Sn1,2.486134
Cu5Se3Tl1,0.659046
Mg2Si1,0.592441
Cs2Se5,1.577658
Cu1I1Te2,1.652005
Be1O1,10.121819
Cu1F6Sr2,5.294321
H4Hg3O11S2,3.355377
Br4Nb1O1Tl1,1.949592
I1K3O5,2.969304
In2O5Ti1,3.216998
B2Ba3O12Ti3,3.372639
Cl2Re3S4Tl1,2.52884
Cu1K2P1,1.911744
Au1Na1O8S2,3.299906
H1N1Na1O2,4.395874
Cl4Co1Cs2,4.552847
Ce1Pt2,0.164647
Mn1O1,0.569128
Au1P1S4,2.045965
Cu1S3Ta1,1.166006
Cu1K2S4V1,2.260656
O5P2,7.473458
Al1O4W1,2.290613
Mn1O5Te2,3.082464
Ag1P2,1.378546
B6Cr1H16,3.109962
I2Sn1,2.307698
Ba1C1N2,3.254348
Cs2S2,2.770729
As3La1Zn3,0.4828830000000002
Al1Br3N1Se1,2.645221
K1O6Te2,2.093824
Na2S5,2.754476
Cd1Cu2Ge1S4,1.519499
Cl4Re1Te2,3.129293
Ag3P2S8Y1,2.985139
F5Ga1H4Mn1O2,4.591834
I3Pb1Tl1,2.874755
Mg3N2,2.694411
Cs2Mo1O2S2,2.99737
As2Mn2O7,3.145057
C2N2S2Se1,3.401404
Pt1S2,1.376562
Ba1O6Te2,2.894158
O1Zn1,1.205692
B2Ba1Hf1O6,6.524745
Rb2Se5Sn2,1.540408
Lu2Mn1S4,2.319239
I6K2Re1,2.242372
F6Mn1Pt1,3.281122
Hf1S3Sn1,1.650854
Au1Cs1I3,1.086566
As2O14Pb3Te1Zn3,4.153738
Ag1O3V1,2.386002
Cs4O4Zr1,4.106921
H2Mn3O10Se3,3.998224
Cs2Cu2S5Sb2,2.13655
F1N2O3S4,1.802435
As1K1Mo1O6,3.802726
As2Cu1O4,3.429871
D4Sn1,4.667528
F3Fe1,4.01951
H1O9Sr2V3,3.035845
Br2Nb1O1,1.843987
Cl6Cs2Pt1,3.401573
O4Sn2Ti1,1.760334
As1Fe1O4,3.063724
Cl1N3Pt1S4,2.147008
Ge1Li4S4,3.457332
Cu1La3Se7Sn1,2.082286
Au1C2Cs1N2S2,4.121359
Cl5Fe1N4S4,2.355744
C4H4N4O2Pt1,4.849608
La1Rb1S4Si1,3.626168
Cu2Li1O2,2.034411
Pt3Se8Ta2,1.224495
Fe7Na1O24P6,1.10919
Ag1As1Se2,0.3247159999999995
Cl4Ti1,4.466968
Ba1Br2H2O7,5.7457080000000005
Co3O8P2,4.606033
As1S1Y1,0.15965
C2Cl4Cu1H10N2,2.622312
S1V1,2.60235
Ag2Ge1S3,1.402822
C4Cu1H6N8,3.897715
Cl2Hg1O2Pb2,3.252347
Ba3N1Sb1,1.3717310000000005
Cu2Mg1S4Si1,2.9865469999999994
C2Pt1Rb2,1.798358
Cr1Ge2Na1O6,3.966187
P3Ru1,2.034719
As2Pt1,0.74957
As3K3Na2Sn1,1.185678
Ba3Ni1O4,3.444255
Cd1O6Sb2,3.112633
Bi2Mo2O13Se2,3.580804
Ca2Si1,0.638139
Br1N3,3.229206
Ca1Cu1Ge2O6,3.354462
P2Se5,2.050843
Co1O4Rh2,2.387257
Ni1Sb1Sc1,0.404521
Ag5O4P1Se1,1.367863
Ba3Cd2Sb4,0.136241
Ga1K3Te3,2.335446
Ag1As1Cs2S4,2.587537
Ag1Cr1Te2,0.1934089999999999
Cd2O7P2,4.488681
Ge9Li4O20,4.382434
B2Mg3Mn3O10,1.558339
Cl2I1N3S4,2.571178
In1S6Sc3,1.415684
Pt1Sb1Sc1,0.934249
Cd1Mo1O4,3.533356
F6Mg1Pd1,3.945322
Li2O4Te1,3.851024
Mn1O11Pb5Sb2,2.120443
Br6Pb2Pd1,2.446968
Cu1H2O6Se2,3.638816
Cu1Na2S3Sb1,2.032898
As2H8O12Zn3,4.926454
Cu1K2Nb1S4,2.974257
Cl9In1Li1Nb3,1.496093
Co1Cr2S4,1.775697
Ba5Nb4O15,3.896832
Br1C1K1N2O4,2.589028
H3Y1,0.299315
B2K2S7,3.720739
Cl4I1K1,3.376175
La2O5Re1,2.133124
B4Cu1Li6O10,4.138991
Cl9N3S4Te2,3.064109
As2B12,3.45932
Ba1Mn2Sb2,0.8851079999999998
Ga1Li1Se2,3.041588
Cl1Cu1O2Sr2,4.077158
Cs2Ir1Na2O4,2.14307
C8Cu3H8Na2O16,3.255191
Mn3Rb2Se4,3.219769
Cu2O14Sr9Zn4,3.789873
Fe1La3Ni1S7,2.438181
C2O4Sn1,3.561975
Cl17P1W6,0.311623
H10O8Se1,3.717567
As2Fe1,1.620818
I3Nb1O1,1.362413
H2Sr1,2.180285
Ga2I3,2.916242
Ag6Cl1F3Mo2O7,3.122621
F1N5S4,3.565876
Ag2C5Fe1N6O1,2.7670570000000003
Bi1Os1Se1,1.131399
Cs2H12N6Sn1,3.910212
Mn1O6Sb2,2.798494
Ba1Cu2S4Sn1,1.585383
H4Mg2Ni1,2.483664
Nb2O9Zn4,4.073163
Na1Sb1,0.860856
H2O8Se2Zn1,4.684718
K1Mo3O9,1.200877
Pt1S1,1.165064
S3Sr1Zr1,2.038612
