smiles,ΔfH°(298.15 K)
C/C=C(/C#C)\C=C,76.49
C/C=C(\C#C)/C=C,74.65
C/C=C/C(=C)C#C,75.44
C/C=C\C(=C)C#C,79.47
C=C/C=C/C1=CC1,92.15
C=C/C=C\C1=CC1,93.4
C=C=CCC=C=C,95.28
C=CC(C#C)C=C,86.22
C=CC1C=CC=C1,51.01
CC#CC(=C)C=C,72.94
Cc1ccccc1,12.36
CCC(C#C)C#C,97.16
[CH2][C@H](C#C)CC=C,103.78
[CH2]C[C@H](C#C)C=C,102.93
[CH2]C=C(C=C)C=C,64.35
[CH2]CC1C=CC=C1,70.67
[O]c1ccccc1,14.24
C/C=C/[C]1CC=C1,74.52
C/C=C/1\[CH]CC=C1,50.29
C/C=C/C1=CC[CH]1,82.71
C/C=C\1/CC=C[CH]1,44.6
C/C=C\C1=CC[CH]1,86.63
C[C](C#CC)C=C,71.3
C[C]1C=CC(=C1)C,43.06
C=C[C](C=C)C=C,60.64
C=C[CH]/C=C/C=C,55.59
C=C[CH]/C=C\C=C,60.87
C=C[CH]C=C1CC1,80.84
C=CCC[CH]C#C,90.58
CC(=C1[CH]C=C1)C,81.06
CC[C](C#C)C=C,76.79
CC[C]1C=CC=C1,47.95
CC1=C[CH]C=C1C,43.66
OC1=CC=CC=[C]1,42.22
C/C=C/C(=C)C=C,35.57
C/C=C/C=C/C=C,31.51
C/C=C/C=C\C=C,32.97
C/C=C/C=C=CC,45.53
C/C=C/CC#CC,48.42
C/C=C\C(=C)C=C,36.48
C/C=C\C=C/C=C,34.28
C/C=C\C=C\C=C,32.69
C/C=C\C=C=CC,46.65
C/C=C\CC#CC,49.97
C[C@@H](C#CC)C=C,49.44
C[C@H](C#C)/C=C/C,51.85
C[C@H](C#C)/C=C\C,53.22
C=C=C1CCCC1,35.61
C=C=CC(=O)C=C,30.77
C=C=CC=C(C)C,44.58
C=c1ccc(=C)o1,10.17
C=C1OC=CC=C1,13.34
C=CC(C#C)(C)C,51.76
C=CC(C=C)C=C,45.27
C=CC=C=C(C)C,44.87
C=CC=C=CC=O,32.4
C=CC=CC=C=O,19.6
C1=CC=CC=CO1,21.83
CC#CC=C(C)C,41.26
CC(C1=CC=C1)C,79.84
CC[C@@H](C#C)C=C,54.12
CC=C(C=C)C=C,36.9
CC1(C)C=CC=C1,18.38
CCC1=CC(=C1)C,75.87
CCC1=CC=C1C,76.37
CCC1C=CC=C1,20.77
CCCC1=CC=C1,81.85
[CH2]C/C=C/C(=C)C,54.51
[CH2]C/C=C/CC=C,62.38
[CH2]C/C=C\CC=C,63.46
[CH2]C1(O)C=CC=C1,38.91
[CH2]CC(=C)CC=C,60.77
[CH2]CC(C=C)C=C,62.54
[CH2]CC/C=C/C=C,57.31
[CH2]CC/C=C\C=C,58.45
[CH2]CCC(=C)C=C,57.45
[CH2]CCCC=C=C,71.93
C/C=C/[CH]/C=C/C,30.49
C/C=C\[CH]/C=C/C,31.16
C/C=C\[CH]/C=C\C,31.86
C[CH]/C=C/CC=C,44.44
C[CH]C(=C)CC=C,44.07
C=C[CH]C/C=C/C,44.15
C=C[CH]C/C=C\C,45.35
C=CC[C@H](C=C)[CH2],62.5
C=CC[C](C=C)C,42.79
C=CC[CH]/C=C/C,44.0
C=CC=C[C](C)C,31.55
C=CCC/C=C/[CH2],46.39
C=CCC/C=C\[CH2],46.81
C=CCC[CH]C=C,46.41
C=CCCC(=C)[CH2],46.52
C=CCCC[C]=C,69.46
CC(=C)[C]1CCC1,47.19
CC(C1=C([CH]1)C)C,81.53
CC(C1=C[CH]1)(C)C,84.35
CCC#C[C](C)C,51.65
C/C=C/C1(C)CC1,13.78
C/C=C\C1(C)CC1,17.62
C=C/C=C/C(C)C,6.74
C=C1C=CC(=O)O1,-46.8
C=C1OC=CC1=O,-31.17
C=CC(C=C)(C)C,11.21
C=CC[C@H](C=C)C,13.25
C=CCC/C=C/C,12.55
C=CCC/C=C\C,13.68
C=CCC=CC=O,-3.57
CC(=C1CCC1)C,12.27
CC(=CC(=C)C)C,6.01
CC(C1=C(C1)C)C,34.26
CC=C=CC(=O)C,-2.22
CC=C1CCCC1,-5.38
CC1=C(C1(C)C)C,30.78
CCC(C#C)(C)C,20.48
CCC(C=C)C=C,13.62
CCC/C=C/C=C,8.48
CCC/C=C\C=C,9.62
CCC=C=CC=O,4.45
O=CC=C=CC=O,-9.62
[CH2]/C=C/C(C)(C)C,11.99
[CH2][C@H](CC)CC=C,32.48
[CH2]CC(C=C)(C)C,29.39
[CH2]CC(C=C)CC,31.71
[CH2]CC/C(=C/C)/C,29.13
[CH2]CC/C(=C\C)/C,28.98
[CH2]CC/C=C/CC,31.4
[CH2]CC/C=C\CC,32.51
[CH2]CCC/C=C/C,31.16
[CH2]CCC/C=C\C,32.21
[CH2]CCC=C(C)C,28.65
C[C@@H](C=C)CC[CH2],31.81
C[C@H](C[CH2])CC=C,31.92
C=CCC([CH2])(C)C,29.55
C=CCCC([CH2])C,32.63
CC([C]1CCC1)C,32.0
CC[C](C=C)CC,13.49
CC[CH]CCC=C,31.42
C#CC#CC#CC#C,219.26
C/C=C/C(C)(C)C,-22.52
C/C=C\C(C)(C)C,-18.29
C=C1CCOC1=O,-66.14
C=CCC(C)(C)C,-19.79
C=CCCC(C)C,-16.85
C=CCCCC=O,-28.91
C1CCCCCC1,-28.76
CC(=C)C(C)(C)C,-21.99
CC(=CC(=O)C)C,-42.75
CC(=O)C=C=CO,-31.32
CC=C=CC(=O)O,-50.94
CC=CC(C)(C)C,-21.81
CCC(=C(C)C)C,-21.24
CCC(=C)C(C)C,-19.29
CCC(C=C)CC,-17.39
CCC1OC1C=C,-11.77
CCCC(=C)CC,-18.57
CCCCCC=C,-14.55
O=CC=C(C=O)C,-50.59
O=CC=CC(=O)C,-53.65
[CH2]C(C(C)(C)C)C,-0.85
[CH2]C(CC(C)C)C,0.97
C1OO/C/1=[C]\C=O,54.29
CC[C@H]([C](C)C)C,-3.98
CC[C](CC)CC,-1.02
CCC[C](CC)C,-1.96
CCCC([CH2])(C)C,0.15
CCCC[C](C)C,-2.35
CCCC[CH]CC,1.37
CCCCC([CH2])C,2.9
CCCCC[CH]C,1.1
CC(=CCO)C=O,-66.85
CC(=O)CC(=O)C,-87.5
CC(C(C)(C)C)C,-50.04
CC(CC(C)C)C,-48.99
CC[C@@H](C(C)C)C,-47.3
CC=CC(=O)OC,-82.31
CC1(C)OC1(C)C,-50.65
CCC(CC)(C)C,-48.8
CCC(CC)CC,-45.52
CCC[C@H](CC)C,-46.51
CCC1(C)COC1,-40.29
CCC1(CC)OC1,-42.65
CCC1OC1(C)C,-47.24
CCC1OC1CC,-42.84
CCCC(C)(C)C,-50.15
CCCCC(=O)C,-66.91
CCCCC(C)C,-46.54
CCCCCCC,-45.16
O=CCCCC=O,-74.17
OCCC(=C)C=O,-66.71
[C]#Cc1ccccc1,160.83
OCCC=C,-36.68
C#Cc1ccccc1,76.78
C1=CC2=CC=CC2=C1,92.46
CC(=O)C(=O)CO,-114.89
CC(C(=C)C)OO,-30.59
CC(C=C)OOC,-20.07
CC1(CO)CCO1,-79.49
CCC=CCOO,-24.33
CCCC(=O)OC,-108.76
COOCC(=C)C,-19.77
O=COC(=O)C=O,-134.49
OOCC=C(C)C,-27.88
OOCCC(=C)C,-26.77
C=C=C1C=C[CH]C=C1,85.56
CC#C[C]1C=CC=C1,103.31
C#CC(=C(C)C)C#C,109.8
C#CC1=CCC(=C1)C,78.47
C#CCC1C=CC=C1,89.93
C/C=C/C(C#C)C#C,122.09
C=C[C@H](C#CC)C#C,119.33
C=C=C1C=CC(=C1)C,75.89
C=CC(C#C)(C#C)C,121.95
C1=CC=CC=CC=C1,71.48
CC#CC(=C)C#CC,107.43
CC(CC)COO,-54.92
CC(OO)CCC,-57.2
CCC(OO)(C)C,-62.27
CCC(OO)CC,-57.48
CCCCCOO,-52.86
OOC(C(=C)O)C,-66.38
OOC(C(C)C)C,-59.08
OOCC(C)(C)C,-58.28
OOCC=CCO,-54.88
OOCCC(C)C,-55.47
[CH2]Cc1ccccc1,56.81
[O]CC(OO)(C)C,-39.4
[O]OC(C(O)C)C,-60.8
[O]OCC(O)(C)C,-61.2
C/C=C/[C](C#C)C=C,91.0
C/C=C\[C](C#C)C=C,93.95
C[C](C#CC)C#CC,105.64
C=C[C@H]1[C@@H]2[C@H]1[CH]C=C2,84.67
C=C[C](C#CC)C=C,88.53
C=C[CH]/C=C/C=C=C,89.54
C=CC1C=C[CH]C=C1,66.78
CC[C](C#CC)C#C,110.81
CC[C]=C1C=CC=C1,93.95
CCC#C[CH]C#CC,109.41
CCC(CO[O])O,-56.5
CCC(COO)[O],-35.0
CCC1=CC=CC=[C]1,69.13
OCC(O[O])(C)C,-62.1
OOC(C([O])C)C,-39.2
OOCC([O])(C)C,-39.5
C#CC(=C)C=C(C)C,70.58
C/C=C/[C@@H](C#C)C=C,78.36
C/C=C/C=C/C1=CC1,83.98
C/C=C/C1=CC=CC1,36.45
C/C=C\C=C\C1=CC1,85.13
