smiles,ΔfH°(298.15 K)
CCCCCC=C,-14.55
O=CC=C(C=O)C,-50.59
O=CC=CC(=O)C,-53.65
OCC=C=CC=O,-24.74
[CH2]C(C(C)(C)C)C,-0.85
[CH2]C(CC(C)C)C,0.97
[CH2]CCCCCC,4.14
C[CH]CC(C)(C)C,-4.21
CC[C@@H](C([CH2])C)C,1.95
CC[C@H]([C](C)C)C,-3.98
CC[C](CC)CC,-1.02
CCC[C@@H](CC)[CH2],3.05
CCC[C@H](CC)[CH2],3.06
CCC[C](CC)C,-1.96
CCC[CH]CCC,1.24
CCCC([CH2])(C)C,0.15
CCCC[C](C)C,-2.35
CCCC[CH]CC,1.37
CCCCC([CH2])C,2.9
CC(=CCO)C=O,-66.85
CC(=O)CC(=O)C,-87.5
CC(C(C)(C)C)C,-50.04
CC(CC(=O)C)C,-69.12
CC(CC(C)C)C,-48.99
CC[C@@H](C(C)C)C,-47.3
CC=CC(=O)OC,-82.31
CC1(C)OC1(C)C,-50.65
CCC(=O)CC=O,-79.63
CCC(CC)(C)C,-48.8
CCC(CC)CC,-45.52
CCC[C@H](CC)C,-46.51
CCCC(C)(C)C,-50.15
CCCCC(=O)C,-66.91
CCCCC(C)C,-46.54
CCCCCC=O,-59.17
CCCCCCC,-45.16
O=CCC(C)(C)C,-63.7
O=CCCCC=O,-74.17
[C]#Cc1ccccc1,160.83
C#Cc1ccccc1,76.78
CC(=O)C(=O)CO,-114.89
CC(C(=C)C)OO,-30.59
CC(C=C)OOC,-20.07
CC1(CO)CCO1,-79.49
CCC1(CO)CO1,-74.89
CCCC(=O)OC,-108.76
CCCC1OC1O,-77.16
COOCC(=C)C,-19.77
COOCC=CC,-18.81
O=COC(=O)C=O,-134.49
OOCCC=C=O,-39.14
C#CC(=C(C)C)C#C,109.8
C/C=C/C(C#C)C#C,122.09
C=C[C@H](C#CC)C#C,119.33
C=CC(C#C)(C#C)C,121.95
C1=CC=CC=CC=C1,71.48
CC#C/C(=C/C)/C#C,109.04
CC#C/C(=C\C)/C#C,108.89
CC#CC(=C)C#CC,107.43
CC(=C)C(OO)O,-67.28
CCC(OO)(C)C,-62.27
OOC(C(=C)O)C,-66.38
OOC(C(C)C)C,-59.08
OOC(C=O)(C)C,-74.89
OOCC(C)(C)C,-58.28
OOCC=CCO,-54.88
[CH2]Cc1ccccc1,56.81
[O]CC(OO)(C)C,-39.4
[O]OC(C(O)C)C,-60.8
[O]OCC(O)(C)C,-61.2
OOC(C(O)C)C,-93.96
C/C=C/[C](C#C)C=C,91.0
C/C=C\[C](C#C)C=C,93.95
C[C](C#CC)C#CC,105.64
C=C[C](C#CC)C=C,88.53
C=C[CH]/C=C/C=C=C,89.54
CC[C](C#CC)C#C,110.81
CC[C]=C1C=CC=C1,93.95
CCC#C[CH]C#CC,109.41
CCC(CO[O])O,-56.5
OCC(O[O])(C)C,-62.1
OOC(C([O])C)C,-39.2
OOCC([O])(C)C,-39.5
C#CC(=C)C=C(C)C,70.58
C/C=C/[C@@H](C#C)C=C,78.36
C=CC(C#C)(C=C)C,78.35
C=CC(C#CC)C=C,75.98
CC#CC(C#C)(C)C,84.5
CC(C#CC)C#CC,82.29
CC(OO)(CC)O,-102.2
CC[C@H](C#CC)C#C,89.85
