smiles,ΔfH°(298.15 K)
[CH2]C=CC(C)C,19.98
[CH2]C1CCCC1,23.50
[CH2]CC/C=C/C,36.32
[CH2]CC/C=C\C,37.41
[CH2]CC=C(C)C,34.26
[CH2]CCC(=C)C,35.36
[CH2]CCCC=C,38.81
C/C=C/[C](C)C,15.04
C/C=C\[C](C)C,18.32
C[C@@H](C=C)C[CH2],37.06
C[C@@H]1C[C@@H]([CH]1)C,39.45
C[C@@H]1C[C@H]([CH]1)C,39.84
C[C@@H]1C[CH][C@H]1C,41.61
C[C@H]1[CH]C1(C)C,50.42
C[C@H]1C[CH][C@@H]1C,38.97
C[C@H]1CC[C]1C,36.50
C[C](C=C)CC,17.82
C[C](C1CC1)C,36.53
C[C]=CC(C)C,40.80
C[C]1CC1(C)C,46.82
C[C]1CCCC1,16.56
C[C]1COC=C1,3.20
C[CH][C@@H]1C[C@@H]1C,40.98
C[CH][C@H]1C[C@@H]1C,40.09
C[CH]C(=CC)C,17.77
C[CH]C/C=C/C,33.67
C[CH]C/C=C\C,34.89
C[CH]C1(C)CC1,39.55
C[CH]C1CCC1,39.02
C[CH]CC(=C)C,32.47
C[CH]CCC=C,35.92
C=CC[C](C)C,32.24
C=CCC([CH2])C,37.30
C1OC(=O)C=[C]1,1.03
CC([C]1CC1)C,47.82
CC(=C)[C](C)C,16.49
CC(=C)C([CH2])C,34.44
CC(=O)C([C])C,-28.57
CC(C1C[CH]1)C,50.24
CC/C=C/[CH]C,18.75
CC[C]1C[C@@H]1C,47.65
CC[C]1CCC1,39.66
CC[CH]/C=C/C,19.23
CC[CH]/C=C\C,21.92
CC[CH]C(=C)C,19.70
CC=C[C](C)C,15.59
CC1(C)C[CH]C1,37.41
CC1(C)CC[CH]1,38.49
CC1C[C](C1)C,36.41
CC1CC[CH]C1,18.43
CC1CCC[CH]1,18.79
CCC(=C)[CH]C,19.70
CCC(=C[CH2])C,18.35
CCC/C=C\[CH2],21.77
CCC[C]1CC1,49.74
CCC[CH]C=C,21.29
