/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 19964/24956 (80.0%)
-> Source reduced: 24956 -> 19964

[FT] Ep 81: Loss 2.3241 | Val MAE 1.1133 CI 0.7836
[FT] Ep 82: Loss 2.4406 | Val MAE 1.1228 CI 0.7778
[FT] Ep 83: Loss 2.1159 | Val MAE 1.1232 CI 0.7778
[FT] Ep 84: Loss 2.2275 | Val MAE 1.1443 CI 0.7895
[FT] Ep 85: Loss 2.0689 | Val MAE 1.1528 CI 0.7895
[FT] Ep 86: Loss 2.5257 | Val MAE 1.1509 CI 0.7836
[FT] Ep 87: Loss 2.2997 | Val MAE 1.1401 CI 0.7895
[FT] Ep 88: Loss 2.2473 | Val MAE 1.1448 CI 0.7836
[FT] Ep 89: Loss 2.1660 | Val MAE 1.1382 CI 0.7778
[FT] Ep 90: Loss 2.2911 | Val MAE 1.1370 CI 0.7778
[FT] Ep 91: Loss 2.1869 | Val MAE 1.1326 CI 0.7836
[FT] Ep 92: Loss 2.3196 | Val MAE 1.1220 CI 0.7778
[FT] Ep 93: Loss 2.1581 | Val MAE 1.1149 CI 0.7778
[FT] Ep 94: Loss 2.1496 | Val MAE 1.1181 CI 0.7778
[FT] Ep 95: Loss 1.8790 | Val MAE 1.1230 CI 0.7778
[FT] Ep 96: Loss 2.0216 | Val MAE 1.1283 CI 0.7778
[FT] Ep 97: Loss 1.9670 | Val MAE 1.1303 CI 0.7778
[FT] Ep 98: Loss 2.0306 | Val MAE 1.1272 CI 0.7778
[FT] Ep 99: Loss 2.0430 | Val MAE 1.1332 CI 0.7719
[FT] Ep 100: Loss 1.7852 | Val MAE 1.1403 CI 0.7719
[FT] Ep 101: Loss 2.0066 | Val MAE 1.1402 CI 0.7661
[FT] Ep 102: Loss 1.4814 | Val MAE 1.1415 CI 0.7719
[FT] Ep 103: Loss 2.0600 | Val MAE 1.1358 CI 0.7719
[FT] Ep 104: Loss 2.0535 | Val MAE 1.1362 CI 0.7719
[FT] Ep 105: Loss 1.8475 | Val MAE 1.1382 CI 0.7719
[FT] Ep 106: Loss 2.0420 | Val MAE 1.1443 CI 0.7661
[FT] Ep 107: Loss 1.8331 | Val MAE 1.1464 CI 0.7661
[FT] Ep 108: Loss 1.8204 | Val MAE 1.1535 CI 0.7544
[FT] Ep 109: Loss 1.9394 | Val MAE 1.1609 CI 0.7544
[FT] Ep 110: Loss 1.9208 | Val MAE 1.1523 CI 0.7544
[FT] Ep 111: Loss 1.7240 | Val MAE 1.1484 CI 0.7661
[FT] Ep 112: Loss 1.5376 | Val MAE 1.1533 CI 0.7778
Early stopping triggered.

>>> Final Test Evaluation
------------------------------------------------------------
[BASELINE RESULT] Method: Hard Random
   MAE:  1.3820
   RMSE: 1.6286
   CI:   0.6579
   RM2:  0.1638
   MAPE: 25.45 %
   Acc:  25.00 %
------------------------------------------------------------
